"ID","Authors-Year","Title","Journal/Conference","Sensor / system configuration","Calibration target / scene geometry","Calibration objective","Introduction motivation/problem","Limitation of prior work","Data acquisition strategy","Automation level","Prior hand-eye estimate","Known target pose / geometry","Manual teaching / initialization","Number of robot poses","Pose diversity / motion selection / degeneracy","Real-time visual feedback controls motion","Considers target imperfection","Imperfection type","Treatment of imperfection","Author-stated limitations","Best Introduction category","Chinese claim supported","Verbatim / faithful English evidence","Page / Section","Precursor references to track","Relation to our work","Evidence confidence"
"P13","Paschke et al.—2022","An easy hand-eye calibration method for laser profile scanners in high precision applications using optimized view poses","IEEE CASE 2022","Eye-in-hand 2-D laser profile scanner","Flat plate plus table-tennis ball","Generate a compact, observable pose set for hand-eye calibration","Programming trajectories is time-consuming; each 2-D measurement is insufficient; object must stay in FoV while views vary","Manual programming must balance visibility and geometric variance; more poses increase downtime","Use rough CAD/hand-eye estimate to simulate ~2500 feasible observations; rank by observability; transfer selected poses to robot","model-based automatic planning","Yes: rough hand-eye/CAD placement","Target geometry known and rough placement required","Yes: initial sensor placement roughly perpendicular over sphere; transfer/setup","Optimized subset; exact selected count varies; simulation pool ~2500","Explicit observability-index pose selection and FoV/collision checking","No; authors call acquisition/optimization/transfer strictly separated","No","None","Ideal plane/sphere assumed","Strict separation prevents on-the-run view generation; two-stage plane/sphere calibration propagates error","RQ1-motion diversity / RQ1-Automation / Competitor","优化视角能用更少观测获得可观运动，但依赖粗外参和离线模型，且不是在线视觉反馈采集。","“strict separation between data acquisition, optimization, and transfer”","PDF p.7, Discussion","Scott 2003/2009 view planning; Driels & Pathre 1990 pose strategy; observability-index literature","direct competitor","High—作者在 Discussion 中明确界定离线边界"
"P14","Hu & Chang—2013","Automatic Calibration of Hand–Eye–Workspace and Camera Using Hand-Mounted Line Laser","IEEE/ASME Transactions on Mechatronics 18","Eye-to-hand camera observing line laser mounted on robot hand","Ordinary working plane; laser stripe in camera image","Joint camera intrinsic, hand-eye-workspace calibration","Separate camera/hand-eye calibration propagates error and may require entering inaccessible workcell","Existing methods need precise target/visible hand or special triple-laser; industrial recalibration should reduce intervention","Robot projects line laser at prescribed hand poses; all parameters solved jointly","predefined automatic execution","No hand-eye prior stated","Working plane pose is an unknown in joint model; plane is ideal","Initial setup of camera/plane/laser; paper claims execution without manual intervention","Not stated","Uses multiple hand poses and parallel line/plane constraints; no adaptive selection","No online feedback steering stated","No","None","Ideal plane jointly posed, not imperfect","Not stated","RQ1-Automation / calibration simplification","联合估计可避免相机、手眼和工作空间分步标定的误差传播；程序自动求解不等于闭环采集。","“This two-stage process can be executed automatically without manual intervention.”","PDF p.1, Abstract","Hu & Chang 2011 planar laser-pointer method; Park et al. structured beams","supporting literature","High—系统并非 2D profiler，自动化措辞需限定"
"P15","Hu & Chang—2011","Calibration of an Eye-to-Hand System Using a Laser Pointer on Hand and Planar Constraints","IEEE ICRA 2011","Static camera; robot-mounted laser pointer","Planar object observed by camera","Calibrate eye-to-hand/workspace using laser point/plane constraints","Eye-to-hand calibration is difficult when camera cannot see robot hand; precise calibration object is undesirable","Earlier formulations need visible hand, known workspace relation or special objects","Project laser point onto plane from multiple robot poses; solve closed form then nonlinear refinement","predefined automatic execution / semi-automatic setup","No","Plane geometry/pose partly estimated; ideal plane","Initial physical setup; no online servo stated","Not stated","Multiple poses required; no explicit adaptive diversity metric","No","No","None","Ideal plane","Not stated","Background / artefact simplification","平面约束能够在相机看不到机械臂本体时建立标定关系，但依赖图像中的激光点而非二维轮廓。","“eliminates the need for a precise calibration pattern or object”","PDF p.1, Abstract","Robot-world/hand-eye calibration and laser-pointer planar-constraint predecessors","supporting literature","High—对本研究仅为旁系支持"
"P16","Heikkilä et al.—2014","Calibration procedures for object locating sensors in flexible robotized machining","IEEE/ASME MESA 2014","Wrist 2-D laser profiler plus fixed localization sensors","Stationary CAD calibration block with planar surfaces","Provide practical calibration/commissioning procedures","Industrial deployment needs automatic, user-friendly and inexpensive sensor calibration","Complex objects/procedures hinder flexible commissioning","Scan a CAD block from five unique poses; fit model, then Tsai–Lenz hand-eye","manual / semi-automatic","No explicit numerical prior","Known CAD geometry; target pose obtained by registration","Yes: five scanner poses are established","Five unique poses","States at least three stations and more improve accuracy; no online selection","No","No","Manufacturing accuracy only implicit","Known CAD model fitted to profiles","Practical accuracy affected by object localization/robot errors; broader limitations Not stated","A / B artefact simplification / Background","简单标定物有利于工业部署，但基于 CAD 配准的五位姿流程仍要求人工建立有效观测。","“a stationary calibration block is scanned in five unique poses”","PDF p.1, Sec. II-A","Tsai & Lenz 1989; earlier implementation references [3]–[5]","supporting literature","High—采集数量和方式明确"
"P17","Lavest, Viala & Dhome—1998","Do We Really Need an Accurate Calibration Pattern to Achieve a Reliable Camera Calibration?","ECCV 1998","Monocular/stereo cameras","Nominal 3-D point target with inaccurate point coordinates","Jointly estimate camera parameters and full target point geometry","Precisely manufactured/metrologized calibration targets are costly; target-coordinate errors contaminate camera calibration","Classical methods assume accurate 3-D control-point coordinates","Bundle-adjust camera intrinsics/extrinsics and all shared 3-D target points over many images","manual data acquisition; joint optimization","Needs sufficiently close initialization","Target topology/correspondence known; coordinates estimated; one known distance fixes scale","Yes: acquire diverse target views","Not stated","Explicitly states convergence depends on viewpoint distribution","No","Yes","Full static 3-D target geometry and global scale gauge","Jointly estimated across all views; metric scale fixed by a known distance","Strong dependence on view configuration/initialization; global scale unobservable without metric constraint","RQ2-target imperfection / RQ2-shared-geometry motivation","把固定标定物几何作为跨图像共享未知量联合估计，可将制造/测量误差与相机参数分离；必须处理尺度规范自由度。","“the calibration errors no longer depend on the measurement of the target points”","PDF p.12, Conclusion","Classical photogrammetric self-calibration/bundle adjustment cited in Related Work","predecessor","High—共享几何和尺度 gauge 均明确推导"
"P18","Choi et al.—2016","Extrinsic Calibration of 2-D Lidars Using Two Orthogonal Planes","IEEE Transactions on Robotics 32","Two rigid 2-D lidars","Two orthogonal planes; imperfect orthogonality tolerated in nonlinear refinement","Estimate relative lidar pose without camera/known landmarks","2-D scan points lack feature information for correspondence; prior methods need cameras or artificial landmarks","Sparse 2-D data make correspondence difficult","Collect multiple simultaneous scans of two planes; solve coplanarity/orthogonality then refine","manual acquisition / offline estimation","No","Plane locations unknown; orthogonality nominally known","Planes must be presented/scanned","Multiple scans; minimum depends on configuration","Derives critical plane poses and relative-pose degeneracies","No","Partially","Deviation from exact orthogonality","Optimization tolerates non-orthogonality; not a shared surface model","Additional degenerate cases may exist; requires noncritical sensor/plane configuration","RQ1-2D-profile limitation / RQ1-motion diversity","二维扫描点缺少可用于对应匹配的特征，因此常需额外几何约束，并必须分析退化配置。","“Scanned points of 2-D lidars do not have enough feature information”","PDF p.1, Abstract","Camera–lidar planar calibration; lidar landmark and trajectory calibration works in Intro","supporting literature","High—二维信息缺口和退化均为作者明确结论"
"P19","Fernández-Moral, González-Jiménez & Arévalo—circa 2014","Extrinsic Calibration of 2D laser rangefinders","Venue not stated in local PDF","Multiple rigid 2-D LRFs","Perpendicular planes/corners in Manhattan-like scene","Estimate inter-LRF extrinsics without auxiliary sensors","Manual measurements and ad-hoc procedures are tedious/error-prone; 2-D LRFs have scarce distinctive features","Prior methods require supervised association, external patterns/sensors, or special rigs","Observe at least two differently oriented corners, possibly one observation with three perpendicular planes; nonlinear probabilistic optimization","manual acquisition / offline estimation","Yes: rough visual-inspection initial relative pose","No exact plane pose; perpendicular scene structure assumed","Manual scene observation and rough initial guess","At least two corner observations","Analyzes observability and convergence region; excludes parallel scan planes","No","No","Scene planes ideal/perpendicular","No imperfection variable","Not valid for parallel scanning planes; needs structured perpendicular scene and rough initial pose","RQ1-2D-profile limitation / RQ1-motion diversity","二维激光的显著特征稀少，几何结构标定通常需要粗初值并受可观配置限制。","“distinctive features are significantly more scarce”","PDF p.1, Introduction","Brookshire & Teller ego-motion calibration; Censi et al.; Gao & Spletzer landmarks","supporting literature","Medium—本地 PDF 未给出版信息，技术事实明确"
"P20","Peters, Schmidt & Knoll—2020","Extrinsic Calibration of an Eye-In-Hand 2D LiDAR Sensor in Unstructured Environments Using ICP","IEEE Robotics and Automation Letters 5","Eye-in-hand 2-D lidar with wide 360° scan","Unstructured static environment; overlapping accumulated 3-D point clouds","Hand-eye calibration without dedicated target using ICP","Dedicated targets and manual operations reduce flexibility","Feature correspondences are unavailable; target methods require setup","Move robot to two random poses and rotate end axis 180° at each; register reconstructed clouds","predefined/manual acquisition; offline ICP","Yes: ICP needs a reasonable initial hand-eye","No target geometry; requires static overlapping scene","Robot poses/rotations must be executed","Two robot locations with 180° rotation per location","Requires sufficient overlap; no adaptive motion selection","No","No","Complete scene structure is implicit in point clouds","Not parametrically estimated; ICP aligns clouds","Needs wide-range 2-D lidar, overlap and initial guess; line profilers may not provide enough overlap","Background / RQ1-2D-profile limitation","基于场景 ICP 的无标定物手眼方法依赖足够大的扫描范围与点云重叠，窄视场线轮廓仪难以直接迁移。","“in unstructured environments using ICP”","PDF p.1, Title/Abstract and Method","ICP/global registration references; target-free hand-eye predecessors","supporting literature","High—其局限被 Li 2021 直接指出并由流程核实"
"P21","Wu et al.—2021","Globally Optimal Symbolic Hand-Eye Calibration","IEEE/ASME Transactions on Mechatronics 26","Generic camera/robot AX=XB and AX=YB","QR-code box in demonstration; target is not method focus","Globally solve classical hand-eye equations","Closed-form methods are noise-sensitive; iterative methods can fall into local minima and need initial guesses","Nonconvexity and trivial global search hinder accurate/efficient computation","Use already acquired relative poses; symbolic polynomial solution enumerates stationary points","offline solver; acquisition Not addressed","No","Depends on upstream pose measurements; target geometry not modeled","Not stated","Dataset-dependent","No acquisition/degeneracy design focus","No","No","None","No target model","Focus is solver rather than data acquisition; outlier handling still depends on formulation","Background","全局手眼求解器可减轻局部极小值问题，但并不解决二维轮廓数据如何自主获得。","“globally optimal solution without the knowledge of any initial guess”","PDF p.2, Related Work","Heller et al. branch-and-bound; Ha et al. global AX=YB; classical HEC solvers","peripheral","High—适合作为求解背景，不支撑两个核心 RQ"
"P22","Liška, Vaníček & Chaluš—2018","Hand-Eye Calibration of a Laser Profile Scanner in Robotic Welding","IEEE AIM 2018","Eye-in-hand 2-D laser profile scanner on welding head","G40 55-mm steel sphere","Iteratively calibrate rotation and translation with a sphere","Industrial welding needs accurate profiler-to-robot conversion; manual calibration is insufficient","Cuboidal targets require nonlinear solution and complicated pose planning","Manual rough hand-eye; initial scan locates sphere; prescribed scans along axes and many profiles iteratively refine","semi-automatic / predefined execution","Yes: CAD or manual three-point rough calibration","Known sphere diameter; center located by scanning","Yes: manual initial calibration and sphere setup","3×25 profiles for rotation and about 500 for translation in chosen setting","Axis-aligned motions selected; ambiguous poses must be avoided","No","No","Known sphericity/diameter tolerance","Uses precision G40 sphere; no joint tolerance estimation","Real ground truth unavailable; real accuracy cannot be quantified","RQ1-motion diversity / Background","高精度球法可通过大量规定方向扫描提高稳定性，但需要粗手眼初值、精密球和数百轮廓。","“manually obtaining the initial calibration transformation”","PDF p.5, Sec. VI","Tsai & Lenz; Xie et al. 2015 sphere method; cuboid profiler methods","predecessor","High—流程、样本量和局限明确"
"P23","Xu et al.—2022","Hand-eye calibration for 2D laser profile scanners using straight edges of common objects","Robotics and Computer-Integrated Manufacturing 73","Eye-in-hand 2-D profile scanner","Straight edges of common objects; no known dimensions","Calibrate hand-eye from repeated observations of the same straight edges","Special high-precision targets and complex operations hinder on-site calibration","Existing plane/sphere/special-target methods trade convenience for precision","Manually jog to an initial edge; choose large rotations; scripts execute translational arcs while keeping the same edge in scan","semi-automatic","No exact prior stated","No target dimensions; same-edge identity must be maintained","Yes: initial pose and rotation ranges manually selected","25 rotations ×10 translations per object (250 profiles)","Large rotation differences encouraged; same edge must stay visible","No","No","Uses arbitrary edge geometry, assumed straight","Robust line fitting; no edge-form parameter estimation","Future work explicitly proposes incremental-motion automation to infer valid ranges","RQ1-Automation / RQ1-2D-profile limitation / artefact simplification","普通直边可免去精密标定物，但现有流程仍依赖操作者选择初始位姿和可保持同一边可见的运动范围。","“automating data acquisition using incremental motions from initial pose”","PDF p.8, Conclusion","Straight-line profiler and arbitrary-object calibration references in Related Work","direct predecessor","High—人工边界与未来自动化由作者明确承认"
